,jet_fuel_usd_gal
2019-01-01,1.762
2019-02-01,1.89425
2019-03-01,1.9072
2019-04-01,1.97725
2019-05-01,1.9724
2019-06-01,1.81675
2019-07-01,1.90975
2019-08-01,1.8168
2019-09-01,1.875
2019-10-01,1.8639999999999999
2019-11-01,1.8276
2019-12-01,1.88675
2020-01-01,1.7887999999999997
2020-02-01,1.51275
2020-03-01,0.9775
2020-04-01,0.6527499999999999
2020-05-01,0.6544000000000001
2020-06-01,0.98
2020-07-01,1.076
2020-08-01,1.1127500000000001
2020-09-01,1.0105
2020-10-01,1.042
2020-11-01,1.1372499999999999
2020-12-01,1.316
2021-01-01,1.4068
2021-02-01,1.6025
2021-03-01,1.6720000000000002
2021-04-01,1.657
2021-05-01,1.7525
2021-06-01,1.8515
2021-07-01,1.8858000000000001
2021-08-01,1.807
2021-09-01,1.9637499999999999
2021-10-01,2.2706
2021-11-01,2.21775
2021-12-01,2.082
2022-01-01,2.44325
2022-02-01,2.6675
2022-03-01,3.39575
2022-04-01,3.8880000000000003
2022-05-01,3.9059999999999997
2022-06-01,4.13475
2022-07-01,3.5507999999999997
2022-08-01,3.30925
2022-09-01,3.2976
2022-10-01,3.69025
2022-11-01,3.25575
2022-12-01,2.9064
2023-01-01,3.52725
2023-02-01,2.84025
2023-03-01,2.706
2023-04-01,2.38375
2023-05-01,2.18
2023-06-01,2.2352
2023-07-01,2.45975
2023-08-01,2.97325
2023-09-01,3.1032
2023-10-01,2.8845
2023-11-01,2.77025
2023-12-01,2.4224
2024-01-01,2.55225
2024-02-01,2.70975
2024-03-01,2.5902000000000003
2024-04-01,2.61725
2024-05-01,2.3866
2024-06-01,2.3970000000000002
2024-07-01,2.45175
2024-08-01,2.1854
2024-09-01,1.98425
2024-10-01,2.072
2024-11-01,2.0536000000000003
2024-12-01,2.0860000000000003
